BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.1,0.1,0.1,0.15,0.754105629525202,0.9116410323972476,0.8454211863253982,0.8477666925522253,0.6697852880390561,0.642934926009693,0.6800074469278219,,,
0.15,0.0,0.1,0.0,0.7537419699809265,0.9119879974087162,0.8427727583676392,0.8475425722070844,0.6960588295362083,0.6104900371567044,0.6942949730032844,,,
0.1,0.1,0.15,0.15,0.7536872289497167,0.9115154023185172,0.8427064487202434,0.8493188365122616,0.6786329959316517,0.6306523773828756,0.6890917532644396,,,
0.15,0.0,0.05,0.15,0.7533866535351219,0.9082955442564008,0.8518051047073563,0.8295766348773842,0.626861569568755,0.6763186235864297,0.6653251551710326,,,
0.15,0.0,0.0,0.1,0.7529937626101099,0.9088259883454218,0.8511043873277251,0.8322973737511353,0.638367639544345,0.6691105253634896,0.6621125128574863,,,
0.05,0.15,0.15,0.05,0.7529553674073335,0.9110857494761638,0.82727334150707,0.8596476421435059,0.722430606997559,0.5812566630048466,0.699898196427141,,,
0.15,0.0,0.0,0.0,0.7528863764988069,0.9116366425516087,0.847117983712189,0.8435697325158946,0.6781241484947111,0.6356952914378029,0.6751099578626932,,,
0.15,0.0,0.05,0.0,0.7527183797531649,0.912062351410328,0.8453326851619831,0.8460396453224341,0.6875093445890968,0.624428684006462,0.6851099256588961,,,
0.05,0.15,0.0,0.15,0.7526531267448656,0.9124477311016056,0.8438048355110077,0.8494185372388737,0.6662785630593979,0.655462375444265,0.6645179500120163,,,
0.05,0.15,0.0,0.05,0.7524517088921773,0.9133185032793999,0.8379750699838912,0.8574283437783833,0.7009017794955248,0.621390500161551,0.6748269595449812,,,
0.05,0.15,0.0,0.1,0.751577983770138,0.9130889909119086,0.8411364621442635,0.8538683524069028,0.684668655817738,0.6393794823909531,0.6702662116478411,,,
0.15,0.0,0.15,0.05,0.7515713342490555,0.9113553798028641,0.8429565240737427,0.8449810626702997,0.6874537119609438,0.6177575153473344,0.6984123443082593,,,
0.15,0.0,0.0,0.05,0.7514385823902328,0.9104465495009608,0.8492712591730803,0.838115163941871,0.6594227363710334,0.6536969705977382,0.6693156007370024,,,
0.05,0.15,0.1,0.05,0.7514213899881355,0.9123171826173208,0.8317151764811168,0.8593929477747502,0.7162002449145647,0.597038179644588,0.6924890093727469,,,
0.05,0.15,0.05,0.05,0.751269654692093,0.9130561304072903,0.8352723862538035,0.8586546775658492,0.7090403230268512,0.6103699340872375,0.6841131816069855,,,
0.1,0.05,0.15,0.0,0.7512555447975545,0.9118354308102412,0.8323269749418293,0.8533059514078111,0.7170283311635476,0.5863712872374798,0.7053888457902748,,,
0.1,0.05,0.0,0.15,0.7508361997105932,0.9099583903539767,0.848607739931985,0.8347045971843778,0.634815690805533,0.6783109951534734,0.660240554994793,,,
0.15,0.0,0.1,0.15,0.7506853575838017,0.9093406432831195,0.8504440628244138,0.8327335944595822,0.6383039039869813,0.6680619037156705,0.676245633581671,,,
0.15,0.0,0.1,0.05,0.7502010659953146,0.9115531575971731,0.8458227059244676,0.8435535063578565,0.6789892546786005,0.6324477809369952,0.6895584937915565,,,
0.15,0.0,0.05,0.1,0.7501455335803655,0.9099920008430972,0.8499931222480759,0.8355645653950954,0.6497058356387306,0.6615160562197092,0.6733057732916767,,,
0.15,0.0,0.05,0.05,0.7501289336081913,0.9112513814394644,0.8478661345981744,0.8411902842870118,0.6696418266883646,0.6443716038772214,0.6798411372266282,,,
0.15,0.0,0.15,0.15,0.7497958542867701,0.9098973444919719,0.8485091455163772,0.8355795885558583,0.648585637103336,0.6573384142164782,0.6862279206921413,,,
0.05,0.15,0.05,0.15,0.7497268912899322,0.9128917339532577,0.8421041533918023,0.8519347075386012,0.6763995890968266,0.647366484006462,0.6749659708403428,,,
0.05,0.15,0.05,0.1,0.7494866283456935,0.9131829229434009,0.839006292822624,0.8556453664850137,0.6938013262815297,0.6298485621970921,0.6801269558599695,,,
0.15,0.0,0.15,0.1,0.7494187661957332,0.9108516122497055,0.8459932444961518,0.8408042334241599,0.6692202099267697,0.6388783974151858,0.6929719328687014,,,
0.05,0.15,0.15,0.1,0.7490503573401641,0.9119462604674231,0.8321998994093431,0.8574140971843779,0.709078669650122,0.6039881473344103,0.6971901570135384,,,
0.15,0.0,0.1,0.1,0.749036046076176,0.910672635794433,0.8483353597637373,0.8385365367847412,0.6599306240846217,0.6515502151857835,0.6835584167267484,,,
0.1,0.05,0.1,0.0,0.7486924986706259,0.9128111997024363,0.8363696264542688,0.8528278128973661,0.7102931236777869,0.6033826494345719,0.6977086432748537,,,
0.05,0.15,0.1,0.1,0.7485259782244449,0.9128012281941603,0.8360157313406121,0.8567721485013624,0.7019598942229455,0.6181278539579967,0.6891399240567171,,,
0.1,0.05,0.0,0.0,0.7483723126502648,0.9132375437604613,0.8417848568104528,0.8501535140781108,0.6937306598860862,0.6291638630048465,0.6792944077545462,,,
0.05,0.15,0.1,0.15,0.7478716998994323,0.9128665968383857,0.8396932933595848,0.8536311435059037,0.6855622888527259,0.6371268058158319,0.6845514538171914,,,
0.1,0.05,0.05,0.0,0.7478203473380958,0.9132762420184737,0.839532192231967,0.8518083810172571,0.7025179243287226,0.6175819095315024,0.6889485428182328,,,
0.05,0.15,0.15,0.15,0.7471980117018592,0.9123681534932738,0.8364285389296582,0.8546586793823796,0.693750409275834,0.6246257428109855,0.6932652496995915,,,
0.1,0.05,0.0,0.1,0.7471584480667782,0.9114730491600024,0.8467024376230535,0.8403046525885558,0.6570247404393815,0.6641739250403876,0.6680381824881839,,,
0.1,0.05,0.05,0.15,0.7466971742118009,0.9110894017481866,0.8475296160730267,0.8378809763851044,0.6466806167615948,0.6717916471728593,0.6718201465993751,,,
0.1,0.05,0.0,0.05,0.7465996555609824,0.9125751973715207,0.8444812475389296,0.845590055404178,0.6763678502847844,0.6479111321486268,0.6742996444764879,,,
0.1,0.05,0.15,0.05,0.7460511042179689,0.9123080071415287,0.836680105602291,0.8505512143505904,0.7025414434499594,0.6108242474959612,0.7022868026916607,,,
